setor,ano,taxa_mortalidade,obitos,vinculos
01 Agricultura e pecuária,2008,13.1139,183,1395464
01 Agricultura e pecuária,2009,11.9691,164,1370191
01 Agricultura e pecuária,2010,11.4043,159,1394211
01 Agricultura e pecuária,2011,11.9491,168,1405964
01 Agricultura e pecuária,2012,10.0524,145,1442448
01 Agricultura e pecuária,2013,10.9373,155,1417165
01 Agricultura e pecuária,2014,21.337,174,815487
01 Agricultura e pecuária,2015,10.3581,142,1370910
01 Agricultura e pecuária,2016,9.854,143,1451195
01 Agricultura e pecuária,2017,9.6467,141,1461633
01 Agricultura e pecuária,2018,9.9359,144,1449291
01 Agricultura e pecuária,2019,9.3446,135,1444685
02 Produção florestal,2008,12.341,16,129649
02 Produção florestal,2009,19.0801,20,104821
02 Produção florestal,2010,14.276,17,119081
02 Produção florestal,2011,12.263,16,130474
02 Produção florestal,2012,14.0732,18,127903
02 Produção florestal,2013,12.0974,14,115728
02 Produção florestal,2014,19.3357,20,103436
02 Produção florestal,2015,22.079,23,104172
02 Produção florestal,2016,11.2019,11,98197
02 Produção florestal,2017,20.7545,20,96365
02 Produção florestal,2018,14.1196,14,99153
02 Produção florestal,2019,17.8601,19,106382
07 Minerais metálicos,2008,19.9627,11,55103
07 Minerais metálicos,2009,29.2721,16,54660
07 Minerais metálicos,2010,22.401,14,62497
07 Minerais metálicos,2011,12.1589,9,74020
07 Minerais metálicos,2012,22.0144,19,86307
07 Minerais metálicos,2013,22.8828,21,91772
07 Minerais metálicos,2014,7.7833,7,89936
07 Minerais metálicos,2015,21.462,18,83869
07 Minerais metálicos,2016,10.1955,8,78466
07 Minerais metálicos,2017,10.0829,8,79342
07 Minerais metálicos,2018,12.3726,10,80824
07 Minerais metálicos,2019,242.6433,207,85310
08 Minerais não-metálicos (extr.),2008,35.1588,26,73950
08 Minerais não-metálicos (extr.),2009,28.7087,21,73148
08 Minerais não-metálicos (extr.),2010,31.2295,25,80052
08 Minerais não-metálicos (extr.),2011,32.4863,28,86190
08 Minerais não-metálicos (extr.),2012,32.2557,30,93007
08 Minerais não-metálicos (extr.),2013,32.4144,31,95636
08 Minerais não-metálicos (extr.),2014,44.6805,44,98477
08 Minerais não-metálicos (extr.),2015,22.4288,21,93629
08 Minerais não-metálicos (extr.),2016,17.2054,15,87182
08 Minerais não-metálicos (extr.),2017,16.0417,13,81039
08 Minerais não-metálicos (extr.),2018,23.3328,18,77145
