setor,ano,taxa_mortalidade
01 Agricultura e pecuária,2008,13.05
01 Agricultura e pecuária,2009,14.871
01 Agricultura e pecuária,2010,14.352
01 Agricultura e pecuária,2011,14.322
01 Agricultura e pecuária,2012,11.858
01 Agricultura e pecuária,2013,11.608
01 Agricultura e pecuária,2014,11.721
01 Agricultura e pecuária,2015,11.408
01 Agricultura e pecuária,2016,10.48
01 Agricultura e pecuária,2017,13.072
01 Agricultura e pecuária,2018,12.32
01 Agricultura e pecuária,2019,12.379
02 Produção florestal,2008,20.071
02 Produção florestal,2009,22.122
02 Produção florestal,2010,20.303
02 Produção florestal,2011,22.44
02 Produção florestal,2012,17.517
02 Produção florestal,2013,17.256
02 Produção florestal,2014,18.24
02 Produção florestal,2015,13.124
02 Produção florestal,2016,13.111
02 Produção florestal,2017,14.967
02 Produção florestal,2018,11.231
02 Produção florestal,2019,11.666
05-09 Indústrias extrativas,2008,27.199
05-09 Indústrias extrativas,2009,29.876
05-09 Indústrias extrativas,2010,29.539
05-09 Indústrias extrativas,2011,27.106
05-09 Indústrias extrativas,2012,25.544
05-09 Indústrias extrativas,2013,26.588
05-09 Indústrias extrativas,2014,21.957
05-09 Indústrias extrativas,2015,22.586
05-09 Indústrias extrativas,2016,25.115
05-09 Indústrias extrativas,2017,23.146
05-09 Indústrias extrativas,2018,19.382
05-09 Indústrias extrativas,2019,21.706
10 Alimentos,2008,6.255
10 Alimentos,2009,6.384
10 Alimentos,2010,5.49
10 Alimentos,2011,6.313
10 Alimentos,2012,5.928
10 Alimentos,2013,6.798
10 Alimentos,2014,6.06
10 Alimentos,2015,6.04
10 Alimentos,2016,6.181
10 Alimentos,2017,5.926
10 Alimentos,2018,4.941
10 Alimentos,2019,4.653
11 Bebidas,2008,6.753
11 Bebidas,2009,6.799
11 Bebidas,2010,5.674
11 Bebidas,2011,5.534
11 Bebidas,2012,5.347
11 Bebidas,2013,5.418
11 Bebidas,2014,3.591
11 Bebidas,2015,2.948
11 Bebidas,2016,3.135
11 Bebidas,2017,3.449
11 Bebidas,2018,3.038
11 Bebidas,2019,4.152
13 Têxteis,2008,3.254
13 Têxteis,2009,2.891
13 Têxteis,2010,2.644
13 Têxteis,2011,2.445
13 Têxteis,2012,2.718
13 Têxteis,2013,2.112
13 Têxteis,2014,2.227
13 Têxteis,2015,2.066
13 Têxteis,2016,2.076
13 Têxteis,2017,2.211
13 Têxteis,2018,2.004
13 Têxteis,2019,2.178
14 Confecção,2008,1.661
14 Confecção,2009,1.307
14 Confecção,2010,1.508
14 Confecção,2011,1.473
14 Confecção,2012,1.791
14 Confecção,2013,1.444
14 Confecção,2014,1.881
14 Confecção,2015,0.913
14 Confecção,2016,1.405
14 Confecção,2017,1.279
14 Confecção,2018,1.037
14 Confecção,2019,1.179
15 Couro e calçados,2008,3.163
15 Couro e calçados,2009,2.21
15 Couro e calçados,2010,2.259
15 Couro e calçados,2011,2.255
15 Couro e calçados,2012,2.135
15 Couro e calçados,2013,2.25
15 Couro e calçados,2014,2.301
15 Couro e calçados,2015,2.027
15 Couro e calçados,2016,2.262
15 Couro e calçados,2017,1.885
15 Couro e calçados,2018,2.3
15 Couro e calçados,2019,2.2
16 Madeira,2008,11.163
16 Madeira,2009,10.73
16 Madeira,2010,9.784
16 Madeira,2011,11.689
16 Madeira,2012,9.703
16 Madeira,2013,10.238
16 Madeira,2014,8.806
16 Madeira,2015,8.781
16 Madeira,2016,8.692
