setor,ano,taxa_mortalidade,obitos,vinculos
A Agropecuária,2008,12.9627,200,1542893
A Agropecuária,2009,12.5383,187,1491434
A Agropecuária,2010,11.6346,178,1529924
A Agropecuária,2011,12.0296,187,1554493
A Agropecuária,2012,10.3769,165,1590070
A Agropecuária,2013,11.4613,178,1553051
A Agropecuária,2014,21.0509,197,935826
A Agropecuária,2015,11.0328,165,1495537
A Agropecuária,2016,10.0729,158,1568563
A Agropecuária,2017,10.2686,162,1577618
A Agropecuária,2018,10.2665,161,1568208
A Agropecuária,2019,9.9257,156,1571684
B Indústrias extrativas,2008,29.4863,52,176353
B Indústrias extrativas,2009,24.2854,44,181179
B Indústrias extrativas,2010,24.5273,49,199778
B Indústrias extrativas,2011,19.3306,43,222445
B Indústrias extrativas,2012,22.2219,54,243004
B Indústrias extrativas,2013,24.3775,62,254333
B Indústrias extrativas,2014,21.5136,56,260300
B Indústrias extrativas,2015,21.1059,51,241639
B Indústrias extrativas,2016,10.3884,23,221401
B Indústrias extrativas,2017,14.7216,31,210575
B Indústrias extrativas,2018,14.901,31,208039
B Indústrias extrativas,2019,105.2226,226,214783
C Indústrias de transformação,2008,9.7858,669,6836452
C Indústrias de transformação,2009,8.2105,548,6674384
C Indústrias de transformação,2010,9.0724,656,7230738
C Indústrias de transformação,2011,8.3523,640,7662520
C Indústrias de transformação,2012,8.599,675,7849768
C Indústrias de transformação,2013,8.2774,659,7961403
C Indústrias de transformação,2014,7.2851,584,8016333
C Indústrias de transformação,2015,6.8886,526,7635790
C Indústrias de transformação,2016,7.1188,497,6981513
C Indústrias de transformação,2017,6.3165,431,6823417
C Indústrias de transformação,2018,6.5098,440,6759003
C Indústrias de transformação,2019,5.9062,406,6874165
Construção,2008,19.7643,384,1942899
Construção,2009,18.5779,395,2126177
Construção,2010,17.4825,456,2608320
Construção,2011,16.1914,471,2908947
Construção,2012,13.9748,456,3263025
Construção,2013,13.5403,451,3330802
Construção,2014,14.74,453,3073275
Construção,2015,11.7534,333,2833228
Construção,2016,12.28,284,2312710
Construção,2017,11.5302,227,1968748
Construção,2018,14.0918,266,1887622
Construção,2019,11.7054,214,1828222
D Eletricidade e gás,2008,22.5364,26,115369
D Eletricidade e gás,2009,11.0578,13,117564
D Eletricidade e gás,2010,13.1418,15,114140
D Eletricidade e gás,2011,27.2583,32,117396
D Eletricidade e gás,2012,9.8325,12,122045
D Eletricidade e gás,2013,22.5065,27,119965
D Eletricidade e gás,2014,21.4461,19,88594
D Eletricidade e gás,2015,20.9515,27,128869
D Eletricidade e gás,2016,12.2646,16,130457
D Eletricidade e gás,2017,15.5729,20,128428
D Eletricidade e gás,2018,12.8164,16,124840
D Eletricidade e gás,2019,8.1909,10,122086
"E Água, esgoto e resíduos",2008,13.6755,35,255932
"E Água, esgoto e resíduos",2009,14.6968,38,258560
"E Água, esgoto e resíduos",2010,15.7485,43,273042
"E Água, esgoto e resíduos",2011,17.9906,52,289040
"E Água, esgoto e resíduos",2012,13.61,42,308597
"E Água, esgoto e resíduos",2013,14.621,47,321455
"E Água, esgoto e resíduos",2014,17.1131,58,338922
"E Água, esgoto e resíduos",2015,12.4471,41,329393
"E Água, esgoto e resíduos",2016,9.0576,29,320174
"E Água, esgoto e resíduos",2017,10.9092,34,311665
"E Água, esgoto e resíduos",2018,14.4219,45,312025
"E Água, esgoto e resíduos",2019,15.1123,50,330857
G Comércio e reparação,2008,6.6389,461,6943955
G Comércio e reparação,2009,5.8698,429,7308657
G Comércio e reparação,2010,5.8503,454,7760319
G Comércio e reparação,2011,5.1647,434,8403264
G Comércio e reparação,2012,4.2531,375,8817082
G Comércio e reparação,2013,4.4935,411,9146593
G Comércio e reparação,2014,4.7438,450,9486082
G Comércio e reparação,2015,4.2645,400,9379760
G Comércio e reparação,2016,4.0898,369,9022527
G Comércio e reparação,2017,3.856,342,8869351
G Comércio e reparação,2018,4.1483,365,8798887
G Comércio e reparação,2019,3.4688,313,9023348
H Transporte e armazenagem,2008,24.8342,436,1755642
H Transporte e armazenagem,2009,20.7336,379,1827947
H Transporte e armazenagem,2010,21.221,425,2002733
H Transporte e armazenagem,2011,22.887,500,2184649
H Transporte e armazenagem,2012,19.0085,452,2377879
H Transporte e armazenagem,2013,17.814,437,2453120
H Transporte e armazenagem,2014,18.0703,458,2534542
H Transporte e armazenagem,2015,17.6967,440,2486339
H Transporte e armazenagem,2016,16.371,386,2357824
H Transporte e armazenagem,2017,15.5016,353,2277179
H Transporte e armazenagem,2018,14.7022,332,2258164
H Transporte e armazenagem,2019,14.9523,350,2340784
I Alojamento e alimentação,2008,3.959,49,1237698
I Alojamento e alimentação,2009,2.8676,38,1325140
I Alojamento e alimentação,2010,2.6321,38,1443702
I Alojamento e alimentação,2011,2.8459,45,1581210
I Alojamento e alimentação,2012,2.6913,46,1709218
I Alojamento e alimentação,2013,2.6102,47,1800646
